species_code,order,family,scientific_name,common_name,raptor_group
0438,Apodiformes,Trochilidae,Eugenes fulgens,Magnificent Hummingbird,N/A
0439,Passeriformes,Estrildidae,Euodice cantans,African Silverbill,N/A
0440,Passeriformes,Icteridae,Euphagus carolinus,Rusty Blackbird,N/A
0441,Passeriformes,Icteridae,Euphagus cyanocephalus,Brewer's Blackbird,N/A
0442,Passeriformes,Parulidae,Euthlypis lachrymosa,Fan-Tailed Warbler,N/A
0443,Galliformes,Phasianidae,Falcipennis canadensis,Spruce Grouse,N/A
0444,Falconiformes,Falconidae,Falco columbarius,Merlin,Falcon
0445,Falconiformes,Falconidae,Falco columbarius bendirei,Merlin (bendirei subspecies),Falcon
0446,Falconiformes,Falconidae,Falco columbarius columbarius,Merlin (Tundra Subspecies),Falcon
0447,Falconiformes,Falconidae,Falco columbarius richardsoni,Merlin (richardsoni subspecies),Falcon
0448,Falconiformes,Falconidae,Falco columbarius richardsonii,Merlin (richardsonii subspecies),Falcon
0449,Falconiformes,Falconidae,Falco columbarius suckleyi,Merlin (Coastal Forest Subspecies),Falcon
0450,Falconiformes,Falconidae,Falco femoralis,Aplomado Falcon,Falcon
0451,Falconiformes,Falconidae,Falco mexicanus,Prairie Falcon,Falcon
0452,Falconiformes,Falconidae,Falco peregrinum anatum,Peregrine Falcon (anatum subspecies),Falcon
0453,Falconiformes,Falconidae,Falco peregrinus,Peregrine Falcon,Falcon
0454,Falconiformes,Falconidae,Falco peregrinus anatum,Peregrine Falcon (anatum subspecies),Falcon
0455,Falconiformes,Falconidae,Falco peregrinus pealei,Peregrine Falcon (pealei subspecies),Falcon
0456,Falconiformes,Falconidae,Falco peregrinus tundrius,Peregrine Falcon (tundrius subspecies),Falcon
0457,Falconiformes,Falconidae,Falco rusticolus,Gyrfalcon,Falcon
0458,Falconiformes,Falconidae,Falco sparverius,American Kestrel,Kestrel
0459,Falconiformes,Falconidae,Falco sparverius sparverius,American Kestrel (sparverius subspecies),Kestrel
0460,Galliformes,Phasianidae,Francolinus erckelii,Erckel's Francolin,N/A
0461,Galliformes,Phasianidae,Francolinus pondicerianus,Gray Francolin,N/A
0462,Charadriiformes,Alcidae,Fratercula arctica,Atlantic Puffin,N/A
0463,Charadriiformes,Alcidae,Fratercula cirrhata,Tufted Puffin,N/A
0464,Charadriiformes,Alcidae,Fratercula corniculata,Horned Puffin,N/A
0465,Suliformes,Fregatidae,Fregata magnificens,Magnificent Frigatebird,N/A
0466,Suliformes,Fregatidae,Fregata minor,"`Iwa, Great Frigatebird, Iwa",N/A
0467,Suliformes,Fregatidae,Fregata minor palmerstoni,"`Iwa, Great Frigatebird, Iwa (palmerstoni subspecies)",N/A
0468,Passeriformes,Fringillidae,Fringilla montifringilla,Brambling,N/A
