,species_id,park_code,park_name,order,family,scientific_name,common_names,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected
210,ACAD-1210,ACAD,Acadia,Passeriformes,Calcariidae,Calcarius lapponicus,"Common Lapland Longspur, Lapland Longspur",Approved,Not Confirmed,Native,Unknown,Unknown,Least Concern,False
211,ACAD-1211,ACAD,Acadia,Passeriformes,Calcariidae,Plectrophenax nivalis,"Eastern Snow Bunting, Snow Bunting, Snowflake",Approved,Present,Native,Common,Resident,Least Concern,False
212,ACAD-1212,ACAD,Acadia,Passeriformes,Cardinalidae,Cardinalis cardinalis,"Eastern Cardinal, Northern Cardinal",Approved,Not Confirmed,Native,Unknown,Unknown,Least Concern,False
213,ACAD-1213,ACAD,Acadia,Passeriformes,Cardinalidae,Guiraca caerulea,"Blue Grosbeak, Eastern Blue Grosbeak",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Species of Concern,True
214,ACAD-1214,ACAD,Acadia,Passeriformes,Cardinalidae,Passerina amoena,Lazuli Bunting,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False
220,ACAD-1220,ACAD,Acadia,Passeriformes,Cardinalidae,Piranga rubra,"Eastern Summer Tanager, Summer Tanager",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Species of Concern,True
221,ACAD-1221,ACAD,Acadia,Passeriformes,Cardinalidae,Spiza americana,Dickcissel,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False
222,ACAD-1222,ACAD,Acadia,Passeriformes,Certhiidae,Certhia americana,"Brown Creeper, Eastern Brown Creeper",Approved,Present,Native,Common,Breeder,Species of Concern,True
223,ACAD-1223,ACAD,Acadia,Passeriformes,Corvidae,Corvus brachyrhynchos,"American Crow, Common Crow, Crow, Eastern Crow",Approved,Present,Native,Common,Unknown,Least Concern,False
224,ACAD-1224,ACAD,Acadia,Passeriformes,Corvidae,Corvus corax,"Common Raven, Northern Raven, Raven",Approved,Present,Native,Common,Breeder,Least Concern,False
225,ACAD-1225,ACAD,Acadia,Passeriformes,Corvidae,Cyanocitta cristata,"Blue Jay, Northern Blue Jay",Approved,Present,Native,Abundant,Breeder,Least Concern,False
226,ACAD-1226,ACAD,Acadia,Passeriformes,Corvidae,Perisoreus canadensis,"Canada Gray Jay, Canada Jay, Gray Jay",Approved,Present,Native,Rare,Breeder,Least Concern,False
227,ACAD-1227,ACAD,Acadia,Passeriformes,Emberizidae,Ammodramus caudacutus,"Intermediate Sharp-Tailed Sparrow, Saltmarsh Sharp-Tailed Sparrow",Approved,Not Present (False Report),Unknown,Unknown,Unknown,Least Concern,False
228,ACAD-1228,ACAD,Acadia,Passeriformes,Emberizidae,Ammodramus leconteii,"Le Conte's Sparrow, Leconte's Sparrow",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False
229,ACAD-1229,ACAD,Acadia,Passeriformes,Emberizidae,Ammodramus nelsoni,Nelson's Sharp-Tailed Sparrow,Approved,Present,Native,Common,Breeder,Least Concern,False
230,ACAD-1230,ACAD,Acadia,Passeriformes,Emberizidae,Ammodramus savannarum,"Eastern Grasshopper Sparrow, Grasshopper Sparrow",Approved,Not Confirmed,Not Native,Unknown,Unknown,Species of Concern,True
232,ACAD-1232,ACAD,Acadia,Passeriformes,Emberizidae,Chondestes grammacus,"Eastern Lark Sparrow, Lark Sparrow",Approved,Not Present (Historical Report),Not Native,Unknown,Vagrant,Least Concern,False
233,ACAD-1233,ACAD,Acadia,Passeriformes,Emberizidae,Junco hyemalis,"Dark-Eyed Junco, Northern Slate-Colored Junco, Slate-Colored Junco",Approved,Present,Native,Abundant,Breeder,Least Concern,False
234,ACAD-1234,ACAD,Acadia,Passeriformes,Emberizidae,Melospiza georgiana,"Eastern Swamp Sparrow, Swamp Sparrow",Approved,Present,Native,Common,Breeder,Least Concern,False
235,ACAD-1235,ACAD,Acadia,Passeriformes,Emberizidae,Melospiza lincolnii,"Lincoln's Sparrow, Northern Lincoln's Sparrow",Approved,Present,Native,Rare,Breeder,Species of Concern,True
236,ACAD-1236,ACAD,Acadia,Passeriformes,Emberizidae,Melospiza melodia,"Eastern Song Sparrow, Song Sparrow",Approved,Present,Native,Abundant,Breeder,Least Concern,False
237,ACAD-1237,ACAD,Acadia,Passeriformes,Emberizidae,Passerculus sandwichensis,"Eastern Savannah Sparrow, Savannah Sparrow",Approved,Present,Native,Abundant,Breeder,Least Concern,False
238,ACAD-1238,ACAD,Acadia,Passeriformes,Emberizidae,Passerella iliaca,"Eastern Fox Sparrow, Fox Sparrow",Approved,Not Present (Historical Report),Native,Unknown,Migratory,Least Concern,False
240,ACAD-1240,ACAD,Acadia,Passeriformes,Emberizidae,Pipilo erythrophthalmus,"Eastern Towhee, Red-Eyed Towhee, Rufous-Sided Towhee",Approved,Present,Native,Common,Breeder,Least Concern,False
242,ACAD-1242,ACAD,Acadia,Passeriformes,Emberizidae,Pooecetes gramineus,"Eastern Vesper Sparrow, Vesper Sparrow",Approved,Present,Native,Unknown,Migratory,Least Concern,False
243,ACAD-1243,ACAD,Acadia,Passeriformes,Emberizidae,Spizella arborea,"American Tree Sparrow, Eastern Tree Sparrow, Tree Sparrow",Approved,Present,Native,Common,Resident,Least Concern,False
245,ACAD-1245,ACAD,Acadia,Passeriformes,Emberizidae,Spizella passerina,"Chipping Sparrow, Eastern Chipping Sparrow",Approved,Present,Native,Common,Breeder,Least Concern,False
